locus_tag	ftype	length_bp	gene	EC_number	COG	product
OOFMHOMA_02670	CDS	315	ygiN	1.-.-.-	COG1359	putative quinol monooxygenase YgiN
OOFMHOMA_02671	CDS	1893	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
OOFMHOMA_02672	CDS	582				hypothetical protein
OOFMHOMA_02673	CDS	828	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
OOFMHOMA_02674	CDS	423				hypothetical protein
OOFMHOMA_02675	CDS	630	nudF	3.6.1.13		ADP-ribose pyrophosphatase
OOFMHOMA_02676	CDS	1482	tolC		COG1538	Outer membrane protein TolC
OOFMHOMA_02677	CDS	672				hypothetical protein
OOFMHOMA_02678	CDS	1161	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
OOFMHOMA_02679	CDS	816	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
OOFMHOMA_02680	CDS	774	zupT		COG0428	Zinc transporter ZupT
OOFMHOMA_02681	CDS	171	yqiD			Protein YqiD
OOFMHOMA_02682	CDS	654	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
OOFMHOMA_02683	CDS	291	ubiK		COG2960	Ubiquinone biosynthesis accessory factor UbiK
OOFMHOMA_02684	CDS	552	ybgD_1			putative fimbrial-like protein YbgD
OOFMHOMA_02685	CDS	2514	papC_1		COG3188	Outer membrane usher protein PapC
OOFMHOMA_02686	CDS	750	papD		COG3121	Chaperone protein PapD
OOFMHOMA_02687	CDS	1065				hypothetical protein
OOFMHOMA_02688	CDS	201	glgS			Surface composition regulator
OOFMHOMA_02689	CDS	630	yqiJ			Inner membrane protein YqiJ
OOFMHOMA_02690	CDS	1662	yqiK		COG2268	Inner membrane protein YqiK
OOFMHOMA_02691	CDS	1434	hldE		COG2870	Bifunctional protein HldE
OOFMHOMA_02692	CDS	2841	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
OOFMHOMA_02693	CDS	1302	ygiF	3.6.1.25	COG3025	Inorganic triphosphatase
OOFMHOMA_02694	CDS	621				hypothetical protein
OOFMHOMA_02695	CDS	1239	cca		COG0617	Multifunctional CCA protein
OOFMHOMA_02696	CDS	822	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
OOFMHOMA_02697	CDS	369	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
OOFMHOMA_02698	CDS	618	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
OOFMHOMA_02699	CDS	933	dmlR_2			HTH-type transcriptional regulator DmlR
OOFMHOMA_02700	CDS	912	ttdA	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
OOFMHOMA_02701	CDS	606	ttdB	4.2.1.32	COG1838	L(+)-tartrate dehydratase subunit beta
OOFMHOMA_02702	CDS	1464	ttdT_2		COG0471	L-tartrate/succinate antiporter
OOFMHOMA_02703	CDS	1014	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
OOFMHOMA_02704	CDS	216	rpsU		COG0828	30S ribosomal protein S21
OOFMHOMA_02705	CDS	1746	dnaG	2.7.7.-	COG0358	DNA primase
OOFMHOMA_02706	CDS	1842	rpoD		COG0568	RNA polymerase sigma factor RpoD
OOFMHOMA_02707	CDS	507	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
OOFMHOMA_02708	tRNA	76				tRNA-Met(cat)
OOFMHOMA_02709	CDS	765	yqjH	1.16.1.9	COG2375	NADPH-dependent ferric-chelate reductase
OOFMHOMA_02710	CDS	624	yqjI		COG1695	Transcriptional regulator YqjI
OOFMHOMA_02711	CDS	1521	aer		COG0840	Aerotaxis receptor
OOFMHOMA_02712	CDS	1491	patA	2.6.1.82	COG4992	Putrescine aminotransferase
OOFMHOMA_02713	CDS	333	ygjH		COG0073	tRNA-binding protein YgjH
OOFMHOMA_02714	CDS	984	melR_2		COG1609	HTH-type transcriptional repressor MelR
OOFMHOMA_02715	CDS	3093	ebgA	3.2.1.23	COG3250	Evolved beta-galactosidase subunit alpha
OOFMHOMA_02716	CDS	450	ebgC		COG2731	Evolved beta-galactosidase subunit beta
OOFMHOMA_02717	CDS	1434	ygjI		COG0531	Inner membrane transporter YgjI
OOFMHOMA_02718	CDS	1071				hypothetical protein
OOFMHOMA_02719	CDS	2352	ygjK	3.2.1.-		Glucosidase YgjK
OOFMHOMA_02720	CDS	2019	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
OOFMHOMA_02721	CDS	417	higA_1		COG5499	Antitoxin HigA
OOFMHOMA_02722	CDS	1137	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
OOFMHOMA_02723	CDS	504	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
OOFMHOMA_02724	CDS	684				hypothetical protein
OOFMHOMA_02725	CDS	987	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
OOFMHOMA_02726	CDS	966	alx_1		COG0861	Putative membrane-bound redox modulator Alx
OOFMHOMA_02727	CDS	546	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
OOFMHOMA_02728	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
OOFMHOMA_02729	CDS	615	yigZ		COG1739	IMPACT family member YigZ
OOFMHOMA_02730	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
OOFMHOMA_02731	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
OOFMHOMA_02732	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadA
OOFMHOMA_02733	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
OOFMHOMA_02734	CDS	1494	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
OOFMHOMA_02735	CDS	489	rfaH_1		COG0250	Transcription antitermination protein RfaH
OOFMHOMA_02736	CDS	783	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
OOFMHOMA_02737	CDS	777	tatC		COG0805	Sec-independent protein translocase protein TatC
OOFMHOMA_02738	CDS	516	tatB		COG1826	Sec-independent protein translocase protein TatB
OOFMHOMA_02739	CDS	270	tatA		COG1826	Sec-independent protein translocase protein TatA
OOFMHOMA_02740	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
OOFMHOMA_02741	CDS	606	ubiJ_2		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
OOFMHOMA_02742	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
OOFMHOMA_02743	CDS	1428				hypothetical protein
OOFMHOMA_02744	CDS	762	udp	2.4.2.3	COG2820	Uridine phosphorylase
OOFMHOMA_02745	CDS	816	clcD	3.1.1.45		Carboxymethylenebutenolidase
OOFMHOMA_02746	CDS	2262	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
OOFMHOMA_02747	CDS	954	metR			HTH-type transcriptional regulator MetR
OOFMHOMA_02748	CDS	900	bioP		COG0697	Biotin transporter
OOFMHOMA_02749	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
OOFMHOMA_02750	CDS	1023	pldB	3.1.1.5	COG2267	Lysophospholipase L2
OOFMHOMA_02751	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
OOFMHOMA_02752	CDS	621	rhtC_2		COG1280	Threonine efflux protein
OOFMHOMA_02753	CDS	1836	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
OOFMHOMA_02754	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
OOFMHOMA_02755	CDS	468				hypothetical protein
OOFMHOMA_02756	CDS	888	rarD		COG2962	Protein RarD
OOFMHOMA_02757	CDS	318				hypothetical protein
OOFMHOMA_02758	CDS	108				hypothetical protein
OOFMHOMA_02759	CDS	849				hypothetical protein
OOFMHOMA_02760	CDS	492				hypothetical protein
OOFMHOMA_02761	CDS	951	corA		COG0598	Magnesium transport protein CorA
OOFMHOMA_02762	CDS	765				hypothetical protein
OOFMHOMA_02763	CDS	2163	uvrD	3.6.4.12	COG0210	DNA helicase II
OOFMHOMA_02764	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
OOFMHOMA_02765	CDS	897	xerC_3		COG4973	Tyrosine recombinase XerC
OOFMHOMA_02766	CDS	708				hypothetical protein
OOFMHOMA_02767	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
OOFMHOMA_02768	CDS	204				hypothetical protein
OOFMHOMA_02769	CDS	555				hypothetical protein
OOFMHOMA_02770	CDS	1479				hypothetical protein
OOFMHOMA_02771	CDS	1326				hypothetical protein
OOFMHOMA_02772	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
OOFMHOMA_02773	CDS	2547	cyaA	4.6.1.1	COG3072	Adenylate cyclase
OOFMHOMA_02774	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
OOFMHOMA_02775	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
OOFMHOMA_02776	CDS	1224	hemX		COG2959	Protein HemX
OOFMHOMA_02777	CDS	1197	hemY		COG3071	Protein HemY
OOFMHOMA_02778	CDS	162				hypothetical protein
OOFMHOMA_02779	CDS	1236	chuR_1	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
OOFMHOMA_02780	tRNA	77				tRNA-Pro(tgg)
OOFMHOMA_02781	tRNA	87				tRNA-Leu(cag)
OOFMHOMA_02782	tRNA	76				tRNA-His(gtg)
OOFMHOMA_02783	tRNA	77				tRNA-Arg(ccg)
OOFMHOMA_02784	CDS	1386	yifK		COG1113	putative transport protein YifK
OOFMHOMA_02785	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
OOFMHOMA_02786	CDS	1353	wzyE			putative ECA polymerase
OOFMHOMA_02787	CDS	1080	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
OOFMHOMA_02788	CDS	1251	wzxE		COG2244	Lipid III flippase
OOFMHOMA_02789	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
OOFMHOMA_02790	CDS	675	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
OOFMHOMA_02791	CDS	882	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
OOFMHOMA_02792	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
OOFMHOMA_02793	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
OOFMHOMA_02794	CDS	1131	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
OOFMHOMA_02795	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
OOFMHOMA_02796	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
OOFMHOMA_02797	CDS	219				hypothetical protein
OOFMHOMA_02798	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
OOFMHOMA_02799	CDS	330	trxA		COG0526	Thioredoxin 1
OOFMHOMA_02800	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
OOFMHOMA_02801	CDS	1485	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
OOFMHOMA_02802	CDS	2022	rep_1	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
OOFMHOMA_02803	CDS	450				hypothetical protein
OOFMHOMA_02804	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
OOFMHOMA_02805	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
OOFMHOMA_02806	CDS	894	gltC_1			HTH-type transcriptional regulator GltC
OOFMHOMA_02807	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
OOFMHOMA_02808	CDS	1851	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
OOFMHOMA_02809	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
OOFMHOMA_02810	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
OOFMHOMA_02811	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
OOFMHOMA_02812	CDS	90				hypothetical protein
OOFMHOMA_02813	CDS	1521	comM		COG0606	Competence protein ComM
OOFMHOMA_02814	CDS	339				hypothetical protein
OOFMHOMA_02815	CDS	840	hdfR_1			HTH-type transcriptional regulator HdfR
OOFMHOMA_02816	tRNA	76				tRNA-Trp(cca)
OOFMHOMA_02817	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
OOFMHOMA_02818	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
OOFMHOMA_02819	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
OOFMHOMA_02820	CDS	825	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
OOFMHOMA_02821	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
OOFMHOMA_02822	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
OOFMHOMA_02823	CDS	279				hypothetical protein
OOFMHOMA_02824	CDS	2007	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
OOFMHOMA_02825	CDS	1221	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
OOFMHOMA_02826	CDS	1179	yfcJ			putative MFS-type transporter YfcJ
OOFMHOMA_02827	CDS	996	flk			Flagellar regulator flk
OOFMHOMA_02828	CDS	1137	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
OOFMHOMA_02829	CDS	1014	usg		COG0136	USG-1 protein
OOFMHOMA_02830	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
OOFMHOMA_02831	CDS	660	dedA		COG0586	Protein DedA
OOFMHOMA_02832	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
OOFMHOMA_02833	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
OOFMHOMA_02834	CDS	663	dedD			Cell division protein DedD
OOFMHOMA_02835	CDS	489	cvpA		COG1286	Colicin V production protein
OOFMHOMA_02836	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
OOFMHOMA_02837	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
OOFMHOMA_02838	CDS	783	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
OOFMHOMA_02839	CDS	783	hisJ		COG0834	Histidine-binding periplasmic protein
OOFMHOMA_02840	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
OOFMHOMA_02841	CDS	717	hisM		COG4160	Histidine transport system permease protein HisM
OOFMHOMA_02842	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
OOFMHOMA_02843	CDS	903				ISNCY family transposase ISRor2
OOFMHOMA_02844	CDS	894				Epimerase family protein
OOFMHOMA_02845	CDS	363	folX	5.1.99.7	COG1539	Dihydroneopterin triphosphate 2'-epimerase
OOFMHOMA_02846	CDS	648	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
OOFMHOMA_02847	CDS	645	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
OOFMHOMA_02848	CDS	552	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
OOFMHOMA_02849	CDS	543	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
OOFMHOMA_02850	CDS	1479				hypothetical protein
OOFMHOMA_02851	CDS	2145	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
OOFMHOMA_02852	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
OOFMHOMA_02853	CDS	456				hypothetical protein
OOFMHOMA_02854	CDS	495				hypothetical protein
OOFMHOMA_02855	CDS	651	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
OOFMHOMA_02856	CDS	1833				hypothetical protein
OOFMHOMA_02857	CDS	600	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
OOFMHOMA_02858	CDS	1218	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
OOFMHOMA_02859	CDS	939	hdfR_2			HTH-type transcriptional regulator HdfR
OOFMHOMA_02860	CDS	165				hypothetical protein
OOFMHOMA_02861	CDS	444	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
OOFMHOMA_02862	CDS	663	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
OOFMHOMA_02863	CDS	1803	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
OOFMHOMA_02864	CDS	501	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
OOFMHOMA_02865	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
OOFMHOMA_02866	CDS	2727	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
OOFMHOMA_02867	CDS	978	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
OOFMHOMA_02868	CDS	543	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
OOFMHOMA_02869	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
OOFMHOMA_02870	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
OOFMHOMA_02871	CDS	1842	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
OOFMHOMA_02872	CDS	1530	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
OOFMHOMA_02873	CDS	1458	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
OOFMHOMA_02874	CDS	504	yfbM			Protein YfbM
OOFMHOMA_02875	CDS	489	elaD_1	3.4.22.-		Protease ElaD
OOFMHOMA_02876	CDS	744	elaD_2	3.4.22.-		Protease ElaD
OOFMHOMA_02877	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
OOFMHOMA_02878	CDS	462	elaA		COG2153	Protein ElaA
OOFMHOMA_02879	CDS	306	elaB		COG4575	Protein ElaB
OOFMHOMA_02880	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
OOFMHOMA_02881	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
OOFMHOMA_02882	CDS	759	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
OOFMHOMA_02883	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
OOFMHOMA_02884	CDS	963	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
OOFMHOMA_02885	CDS	1356	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
OOFMHOMA_02886	CDS	267	pmrD			Signal transduction protein PmrD
OOFMHOMA_02887	CDS	387	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
OOFMHOMA_02888	CDS	336	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
OOFMHOMA_02889	CDS	1653	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
OOFMHOMA_02890	CDS	891	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
OOFMHOMA_02891	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
OOFMHOMA_02892	CDS	969	arnC_1	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
OOFMHOMA_02893	CDS	1158	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
OOFMHOMA_02894	CDS	603	ais_1	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
OOFMHOMA_02895	CDS	426	nudI	3.6.1.9	COG0494	Nucleoside triphosphatase NudI
OOFMHOMA_02896	CDS	543				hypothetical protein
OOFMHOMA_02897	CDS	1203	pncC_2	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
OOFMHOMA_02898	CDS	390	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
OOFMHOMA_02899	CDS	903				ISNCY family transposase ISSen7
OOFMHOMA_02900	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
OOFMHOMA_02901	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
OOFMHOMA_02902	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
OOFMHOMA_02903	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
OOFMHOMA_02904	CDS	1077	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
OOFMHOMA_02905	CDS	207				hypothetical protein
OOFMHOMA_02906	CDS	630				hypothetical protein
OOFMHOMA_02907	CDS	276				hypothetical protein
OOFMHOMA_02908	CDS	504				hypothetical protein
OOFMHOMA_02909	CDS	516				hypothetical protein
OOFMHOMA_02910	CDS	837				hypothetical protein
OOFMHOMA_02911	CDS	285				hypothetical protein
OOFMHOMA_02912	CDS	222				hypothetical protein
OOFMHOMA_02913	CDS	636				hypothetical protein
OOFMHOMA_02914	CDS	114	dmsB_3		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
OOFMHOMA_02915	CDS	2397	ynfF	1.8.99.-	COG1104	putative dimethyl sulfoxide reductase chain YnfF
OOFMHOMA_02916	CDS	2427	ynfE	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
OOFMHOMA_02917	CDS	306	ynfD			putative protein YnfD
OOFMHOMA_02918	CDS	747				hypothetical protein
OOFMHOMA_02919	CDS	561	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
OOFMHOMA_02920	CDS	342				hypothetical protein
OOFMHOMA_02921	CDS	327				hypothetical protein
OOFMHOMA_02922	CDS	1215	rspA_1		COG4948	Starvation-sensing protein RspA
OOFMHOMA_02923	CDS	1020	rspB	1.1.1.-	COG1063	Starvation-sensing protein RspB
OOFMHOMA_02924	CDS	1368	ydfJ			Putative transporter YdfJ
OOFMHOMA_02925	CDS	1461	por_3	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
OOFMHOMA_02926	CDS	204	ydfZ			Putative selenoprotein YdfZ
OOFMHOMA_02927	CDS	687	rspR		COG1802	HTH-type transcriptional repressor RspR
OOFMHOMA_02928	CDS	747	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
OOFMHOMA_02929	CDS	2046	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
OOFMHOMA_02930	CDS	519	pncC_3	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
OOFMHOMA_02931	CDS	393	ygiW_2		COG3111	Protein YgiW
OOFMHOMA_02932	CDS	891	dgcZ	2.7.7.65	COG2199	Diguanylate cyclase DgcZ
OOFMHOMA_02933	CDS	96	mgtS			Small protein MgtS
OOFMHOMA_02934	CDS	1188	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
OOFMHOMA_02935	CDS	900	eamA		COG0697	putative amino-acid metabolite efflux pump
OOFMHOMA_02936	CDS	699	mngR_2		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
OOFMHOMA_02937	CDS	312	celA	2.7.1.205		PTS system cellobiose-specific EIIB component
OOFMHOMA_02938	CDS	1323	chbC_1		COG1455	PTS system N,N'-diacetylchitobiose-specific EIIC component
OOFMHOMA_02939	CDS	312	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
OOFMHOMA_02940	CDS	1674	bglH_3		COG4580	Cryptic outer membrane porin BglH
OOFMHOMA_02941	CDS	1440	bglA_2	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglA
OOFMHOMA_02942	CDS	219				hypothetical protein
OOFMHOMA_02943	CDS	384	marA			Multiple antibiotic resistance protein MarA
OOFMHOMA_02944	CDS	435	marR		COG1846	Multiple antibiotic resistance protein MarR
OOFMHOMA_02945	CDS	666				hypothetical protein
OOFMHOMA_02946	CDS	1191	sotB		COG2814	Sugar efflux transporter
OOFMHOMA_02947	CDS	225				hypothetical protein
OOFMHOMA_02948	CDS	486				hypothetical protein
OOFMHOMA_02949	CDS	459				hypothetical protein
OOFMHOMA_02950	CDS	882	gltR		COG0583	HTH-type transcriptional regulator GltR
OOFMHOMA_02951	CDS	1389	sad	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
OOFMHOMA_02952	CDS	927	glsA2	3.5.1.2	COG2066	Glutaminase 2
OOFMHOMA_02953	CDS	360				hypothetical protein
OOFMHOMA_02954	CDS	1419				hypothetical protein
OOFMHOMA_02955	CDS	1452	uxaB	1.1.1.58	COG0246	Altronate oxidoreductase
OOFMHOMA_02956	CDS	915				hypothetical protein
OOFMHOMA_02957	CDS	759	tam	2.1.1.144	COG4106	Trans-aconitate 2-methyltransferase
OOFMHOMA_02958	CDS	291	lsrG	5.3.1.32	COG1359	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
OOFMHOMA_02959	CDS	876	lsrF	2.3.1.245	COG1830	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
OOFMHOMA_02960	CDS	1023	lsrB_2			Autoinducer 2-binding protein LsrB
OOFMHOMA_02961	CDS	993	lsrD_2			Autoinducer 2 import system permease protein LsrD
OOFMHOMA_02962	CDS	1029	lsrC		COG1172	Autoinducer 2 import system permease protein LsrC
OOFMHOMA_02963	CDS	1536	lsrA	3.6.3.-	COG1129	Autoinducer 2 import ATP-binding protein LsrA
OOFMHOMA_02964	CDS	954	lsrR		COG2390	Transcriptional regulator LsrR
OOFMHOMA_02965	CDS	1593	lsrK_1	2.7.1.189	COG1070	Autoinducer-2 kinase
OOFMHOMA_02966	CDS	3978				hypothetical protein
OOFMHOMA_02967	CDS	1401	icsA		COG3468	Outer membrane protein IcsA autotransporter
OOFMHOMA_02968	CDS	93				hypothetical protein
OOFMHOMA_02969	CDS	267	hipB		COG1396	Antitoxin HipB
OOFMHOMA_02970	CDS	1323	hipA	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
OOFMHOMA_02971	CDS	564	fimA_2			Type-1 fimbrial protein, A chain
OOFMHOMA_02972	CDS	711	focC_2			Chaperone protein FocC
OOFMHOMA_02973	CDS	2652	fimD		COG3188	Outer membrane usher protein FimD
OOFMHOMA_02974	CDS	531	fimF			Protein FimF
OOFMHOMA_02975	CDS	504	fimG			Protein FimG
OOFMHOMA_02976	CDS	915	fimH			Type 1 fimbrin D-mannose specific adhesin
